x,y,z
-5.987464375810988e-05,0.8750525622270504,0.8898850084461146
2.3142543451002735e-05,0.8750977938757052,-0.8756632062269137
2.240103649176219e-05,0.8750977980741422,-0.860511347126956
2.167477143687032e-05,0.8750971229024422,-0.84561757593256
2.1107878167267382e-05,0.8750974401030849,-0.830973190898074
2.027377451941961e-05,0.8750968452629834,-0.8165690719175709
1.9678065921599665e-05,0.8750965328715826,-0.8023978283765831
1.9025150427737752e-05,0.8750957903034364,-0.7884512942221639
1.830796176398027e-05,0.8750959309580487,-0.7747229729720502
1.774472393511498e-05,0.8750952885463028,-0.761204698241255
1.7138962979578983e-05,0.8750946995689333,-0.7478901522163945
1.6531477300262998e-05,0.875094523713678,-0.7347729573143461
1.5766044944960708e-05,0.8750940478961226,-0.7218463779870148
1.53689146263501e-05,0.8750937507923783,-0.7091047519226524
1.4601574175311064e-05,0.8750937535208412,-0.6965421187302772
1.4158476992439876e-05,0.875093342668258,-0.6841528157053696
1.3495068126215622e-05,0.8750932352302505,-0.6719314190820423
1.3067852334191079e-05,0.8750928369017246,-0.6598725642286531
1.241146597481897e-05,0.8750923876118804,-0.6479715424773471
1.1876780867581265e-05,0.8750917698520921,-0.6362231085646766
1.1350071650709137e-05,0.8750915810712014,-0.6246229115495727
1.0770350763813804e-05,0.8750918225957469,-0.6131668387146217
1.0198713056138823e-05,0.8750909465344302,-0.6018492271156604
9.644162685971944e-06,0.8750906227795754,-0.590667097058993
9.276581323021025e-06,0.8750903759215661,-0.5796160376392011
8.667075120355954e-06,0.875090207337084,-0.5686917573422345
8.142037779652888e-06,0.8750901180720051,-0.5578910375021018
7.656985777292002e-06,0.8750899903208986,-0.5472095269435596
7.12809205622012e-06,0.8750892290747645,-0.53664400682746
6.680762330150466e-06,0.8750889083358575,-0.5261910204250698
6.222824814582149e-06,0.8750889100091124,-0.515847110633013
5.712557090776561e-06,0.8750887582379497,-0.505609237462575
5.331999189877793e-06,0.8750883349137158,-0.4954740034021355
4.7755414184522e-06,0.8750881177331957,-0.4854387264111248
